stock_code,company_name,annual_gross_margin,asset_turnover_annual,cash_share_annual,current_ratio_annual,eps_basic_excl_extra_annual,fcf_share_ttm,inventory_turnover_annual,lt_debt_equity_annual,net_interest_coverage_annual,net_profit_margin_annual,operating_margin_annual,quick_ratio_annual,receivables_turnover_annual,roe_ttm,roi_annual,roa_rfy,tangible_book_annual,total_debt_cagr_5y,total_debt_equity_annual,invalid_rate,mahalanobis_distance
3681,SinoMab Bioscience Ltd,0,-0.972959100414294,-0.082607316900624,0.94677467739889,-0.311453000248189,0,0,-0.218688803739862,-1.61685272509188,0,0,0,0,0,-0.363389799852717,-0.362742022647598,-0.171329577771444,0,-0.220498437406348,0.5,2.86709288719363
2088,Xiwang Property Holdings Co Ltd,-2.1627885028911,-0.767013087979458,-0.301980818429607,0.583191775331826,-0.125600272279834,-0.069882781815534,-0.116514206277685,-0.239700496238611,0,0.044363623836817,0.009998560412592,0.310389058314842,-0.061034630936091,-0.013898325623889,0.030197448813146,-0.000216462284086,-0.240083257251801,0,-0.23059537382641,0.111111111111111,2.86012216700296
8216,Maxicity Holdings Ltd,-0.533993299656155,2.71484155197763,-0.293254151308982,0.235467042112159,-0.089781101395061,0,0,-0.239700496238611,0,0.116350410244261,0.10526769434573,0,-0.068168874269635,0,0.234907323320772,0.168405204292832,-0.247412784336116,0,-0.22997135788219,0.333333333333333,2.85295596802359
200,Melco International Development Ltd,0.553671968344037,-0.299057981946971,1.020953851394,-0.214250996280976,0.149734030623421,0,-0.035401596959725,1.10381215181881,-0.054722121701833,0.116632162785001,0.111501718529575,-0.185056774874375,-0.050211345558048,0.004159671396749,0.139527639242162,0.088124523508073,-0.657103563926353,1.6119290149165,0.341240020419331,0.055555555555556,2.84700595426994
1826,Steering Holdings Ltd,0.358823359126509,1.67888556056751,-0.296729031221737,-0.162788128366846,-0.093010245543982,-0.07580209479627,0,-0.238841663066837,-0.049586477016191,0.123909543748603,0.120723024782614,0,-0.07091282373378,-0.235717773328085,0.706110633147316,0.24157906367844,-0.24948987464165,0.453202834483169,-0.180448779111301,0.111111111111111,2.84189094142561
9966,Alphamab Oncology,0,-0.972959100414294,0.211387520503434,1.03806728511909,-1.08568454480326,0,0,-0.194235985852913,-0.059131145240086,0,0,2.04736854858122,0,-0.359832023458604,-0.409600871948342,-0.416316258357795,-0.04265731648612,0,-0.208116527302703,0.388888888888889,2.83866837820959
1041,Lamtex Holdings Ltd,-0.322686371829732,-0.729895256878288,-0.315115548761112,-0.121150591550755,-0.194435230344753,0,-0.110014735273901,-0.216119714707033,-0.084190205577916,-0.318293882691996,-0.001192755577181,-0.025135048524412,-0.071975976779782,-0.438723978591205,-0.546076868593875,-0.457248468603267,-0.250028695466974,0,-0.112339453681433,0.111111111111111,2.8249252769075
919,Modern Healthcare Technology HoldingsLtd,2.0399737078437,0.321826154387054,-0.287609444817692,-0.236379390363897,-0.121525136598748,-0.054793482973001,-0.11561065774352,-0.124938059106411,-0.083961541895574,0.102232434899877,0.088676423007591,-0.226344783272135,-0.052652935242508,0.015780927126928,-0.079075266472129,0.011711201417888,-0.25161743497172,1.15147003647967,-0.111089879403713,0,2.8172227582015
1182,Success Dragon International Holdngs Ltd,-0.081815067806621,1.00008096561364,-0.322382801400458,-0.177683051837691,-0.104981302191949,-0.077868905081183,0.325382964073344,-0.239700496238611,-0.064478823194486,0.092444404314665,0.081680302790654,-0.114163215045674,2.36730960438788,-0.107702011027696,-0.248019014077725,-0.115698903955426,-0.262096718094304,-0.566693347246086,-0.035961466221949,0,2.81649662946326
905,Global Mastermind Capital Ltd,0,-0.949362977200259,-0.242285153012702,0.893955961727242,-0.174291784908935,0,0,-0.217194130295566,-0.058452289235073,-2.05706007285731,-2.10624516705437,0,-0.073991471229124,-0.299158804528909,-0.164230080218195,-0.188981006473428,-0.23340273203229,-0.859894747773861,-0.218873410820049,0.222222222222222,2.81578079141148
430,Oriental Explorer Holdings Ltd,2.08167300575632,-0.931814474986295,-0.27298898844575,-0.06468660842329,-0.091550495449264,0,0,-0.239700496238611,0,0.263527261221109,0.262728180600107,0,0,-0.00138635024656,0.14694182713183,0.100648972686272,-0.224825671242906,1.23933515764792,-0.187108620503943,0.277777777777778,2.81190515474296
1676,China Shenghai Group Ltd,-0.408808227393213,0.415779735673163,0.165116012568769,1.41172431863027,0.093207419948052,-0.187932491862794,-0.110865171807999,-0.237338170104644,0,0.120341699386308,0.110435564546573,2.16503095309603,-0.070204679208737,0.044084331495497,0.178449193796673,0.134389612201977,0.126281494233601,-0.811719830327227,-0.229320513054032,0.055555555555556,2.80978817662578
8125,Royal Century Resources Holdings Ltd,-0.709815606993865,-0.421392290776409,-0.318913183799535,-0.105307259421243,-0.135636054181017,0,-0.065697239566992,-0.154396657917572,-0.067386388851014,0.016874470554069,0.000895820035803,0.005429495243233,-0.071567251149029,0,-0.178149207675786,-0.192851583497012,-0.253990236970308,1.97282738578052,-0.177408469156855,0.111111111111111,2.80867614655364
237,Safety Godown Company Limited,0,-0.930714907531737,0.129891851272434,2.14685401641082,-0.501585450085147,-0.133850956074247,0,-0.239700496238611,-0.05777519897278,-0.193298652544023,-0.201642071497758,0,-0.041028545790134,0.008468645956857,0.043688154013629,0.004166365440375,0.530270582742151,0,-0.230788063867323,0.222222222222222,2.80670307710933
2931,Safety Godown Company Limited,0,-0.930714907531737,0.129891851272434,2.14685401641082,-0.501585450085147,-0.133850956074247,0,-0.239700496238611,-0.05777519897278,-0.193298652544023,-0.201642071497758,0,-0.041028545790134,0.008468645956857,0.043688154013629,0.004166365440375,0.530270582742151,0,-0.230788063867323,0.222222222222222,2.80670307710933
6063,Lotus Horizon Holdings Ltd,-0.171853048511924,2.18401793377979,-0.320870763800865,-0.130620982705537,-0.089620750058899,-0.071668474226445,0,-0.227991568593752,0.014503407257832,0.131091012608609,0.123111712017777,0,-0.072119540235965,0,0.887870281278634,0.388794336673317,-0.260013941025442,0,-0.100143151662293,0.222222222222222,2.80282133865861
2012,Sunshine Oilsands Ltd,0,-0.893329614076755,-0.31239493354421,-0.347854499552059,-2.20509169319482,-0.637245961464106,0,-0.174860653136272,-0.059176694195169,-0.16597529836334,-0.002642583571761,0,-0.054501970983353,-0.026511984649509,-0.203425381275337,-0.042237325956258,0.311401279157594,-0.190294650413361,0.146365000440113,0.166666666666667,2.7985995940523
8447,MS Concept Ltd,1.00210843210191,2.11713748630726,-0.313999938652827,-0.231899842848529,-0.10380354927462,0,0.06325150757388,-0.032947878116576,-0.058199589830388,0.109182855796895,0.096117744739818,-0.213235132142557,0.102925841369078,0,0.058784042778169,0.040591842294473,-0.259849024888931,0,0.058031497479357,0.166666666666667,2.79331057525465
2777,Guangzhou R&F Properties Co Ltd,-0.052183580594396,-0.632850999503691,0.994703685874373,-0.17232813796709,1.79883140656635,-0.944012871913265,-0.116626392208282,0.671042583536007,-0.042444137799499,0.12691601600008,0.133292137283128,-0.328786521406556,-0.073157523438604,0.095574934746826,0.160563119239782,0.096292427982066,1.51003237383378,0.103829799336441,0.323388711037137,0,2.79083229402485
