stock_code,company_name,annual_gross_margin,asset_turnover_annual,cash_share_annual,current_ratio_annual,eps_basic_excl_extra_annual,fcf_share_ttm,inventory_turnover_annual,lt_debt_equity_annual,net_interest_coverage_annual,net_profit_margin_annual,operating_margin_annual,quick_ratio_annual,receivables_turnover_annual,roe_ttm,roi_annual,roa_rfy,tangible_book_annual,total_debt_cagr_5y,total_debt_equity_annual,invalid_rate
451,GCL New Energy Holdings Ltd,1.0184970078907425,-0.8173703055942967,-0.3111916182387327,-0.30635505834090004,-0.0924186044071075,-0.05509043847370666,0.0,1.269229777017775,-0.05592334926767484,0.1253105332773374,0.1831236498364328,0.0,-0.07301879636035627,0.07538012551792266,0.12572515251745547,0.08022663683808182,-0.2261940486686944,0.9542458554452156,0.7129084787933541,0.1111111111111111
455,Tianda Pharmaceuticals Ltd,1.2857942612075697,-0.2161446522654141,-0.2975446895556251,0.11423051384146418,-0.10140380858860744,-0.09692157000646896,-0.1136604867389543,-0.22504751958406177,0.0,0.11356907376192348,0.10095190818650737,0.3431405974541968,-0.06866849163963117,0.08078786571723638,0.12032534163248133,0.07878557638470582,-0.243218085536335,0.0,-0.2232038750969067,0.1111111111111111
456,New City Development Group Ltd,1.6608491061599793,-0.9218737908363023,-0.32028489308362085,-0.11860095864646666,-0.1023769753184191,0.0,-0.11603725184067593,0.03085679364254694,-0.05802681731049323,0.09996845116737786,0.16500582450361623,-0.025586822216220564,-0.07419652905843156,0.06425980211644226,0.1052510060468439,0.0661580334005298,-0.24959010384530536,0.10022103470593884,-0.11215936344026353,0.05555555555555555
458,Tristate Holdings Limited,-0.22242481744898773,1.087630309427931,-0.13820890371259628,-0.1469322420914315,-0.18125877399735946,0.0,-0.11039644756189847,-0.1733349809130953,-0.057395276003284056,0.1092440248146059,0.09706151855210915,-0.19429760038864569,-0.06472085846136545,0.007020433751284582,0.08382218053425095,0.05069278244995,-0.08463913590931052,-0.49336552106431747,-0.17740262545662874,0.05555555555555555
459,Midland IC&I Ltd.,0.0,-0.5713940942056772,-0.2695141085329953,0.09145729317352873,-0.10818279955877291,0.0,0.0,-0.08124319281470739,-0.05559556976179058,0.10465938331705099,0.09035681043191014,0.0,-0.07136107899986406,0.04150876162282487,0.09367367373815887,0.05614892289949245,-0.22010992275320163,1.653248977420755,-0.15865612202641283,0.2222222222222222
460,Sihuan Pharmaceutical Holdings Group Ltd,1.4844020742217727,-0.6667147053001554,-0.2106849704643496,-0.034868229331821994,-0.2864768973018285,-0.10254788689317557,-0.11543607605835221,-0.23889150117092897,0.0,-0.02571690235405915,-0.02865947531272196,0.09555423972552152,-0.05682220319392948,0.022993915981949897,-0.14613999003159286,-0.14216976734640208,-0.18442121779780618,0.2812345289087701,-0.2304513016334748,0.05555555555555555
462,Natural Dairy (NZ) Holdings Ltd,0.5012069450226326,-0.9511757775983148,-0.3223915719201777,-0.21980791777201428,-0.25545720778908104,0.0,-0.10940873788877097,-0.05450481513004155,-0.05852810806536965,-3.5572756830948533,-2.1317495936642796,-0.19193810960733532,-0.07446723985661868,-0.20979582495554208,-0.4127416138563749,-0.3339674793507337,-0.2637401926960822,-0.6005847352162581,-0.11405096268632013,0.05555555555555555
464,China Overseas Nuoxin Intrntnl Hldgs Ltd,-0.9210998355062092,0.865398811449908,-0.31027773008398984,-0.22836984527782023,-0.15193106754894364,-0.09842218513670246,-0.1116763166174257,-0.23624230586607736,-0.1034203870343644,0.09828121411274988,0.08366882652588155,-0.305487320009909,-0.0695412453319661,-0.04303412190270308,-0.20042346719611887,-0.048974361352075294,-0.24736657938407608,0.023209592196470622,0.00956245748120373,0.0
465,Futong Technology Development Hldgs Ltd,-0.6748030664428628,0.5833449003360518,-0.0803357522933457,0.06310318400874032,-0.09638315295980623,0.10380847025064886,-0.09599418363517029,-0.239700496238611,0.0,0.11147064577242083,0.09770647173419217,0.29416422222856375,-0.07091349002812772,0.0672207925251221,0.11359071279527246,0.07265036851389707,-0.12444292497789529,-1.3643738267675092,-0.2261322206239717,0.05555555555555555
467,United Energy Group Ltd,0.47989853963904866,-0.4690154487745072,-0.30147388238983597,-0.22903293243869374,-0.062073496377524955,0.0,-0.1034306073365215,-0.04709981221888564,-0.045935569709774866,0.149414404445126,0.1525309544169892,-0.21604845013245727,-0.07108972488299675,0.12755444213444989,0.2327027712081137,0.1666208554116439,-0.24690310817284797,-0.27307222951865945,-0.12318920641240898,0.05555555555555555
